datum;temperatuur (C) [43077310];windsnelheid (m/s) [43077310];windrichting (graden) [43077310];relatieve vochtigheid  (%) [43077310];luchtdruk (hPa) [43077310]
2017-04-01T00:00:00;11.5;0.8;203;82;1012.8
2017-04-01T00:10:00;-;-;-;-;-
2017-04-01T00:20:00;11.4;0.4;203;82;1012.8
2017-04-01T00:30:00;11.3;0.4;205;83;1012.8
2017-04-01T00:40:00;-;-;-;-;-
2017-04-01T00:50:00;11.2;0.4;183;84;1012.7
2017-04-01T01:00:00;11.2;0.4;173;84;1012.8
2017-04-01T01:10:00;-;-;-;-;-
2017-04-01T01:20:00;11.2;-;170;84;1012.7
2017-04-01T01:30:00;11.1;-;171;85;1012.6
2017-04-01T01:40:00;-;-;-;-;-
2017-04-01T01:50:00;10.9;-;171;85;1012.5
2017-04-01T02:00:00;10.6;-;0;86;1012.3
2017-04-01T02:10:00;-;-;-;-;-
2017-04-01T02:20:00;10.4;-;0;87;1012.3
2017-04-01T02:30:00;10.4;-;170;88;1012.2
2017-04-01T02:40:00;-;-;-;-;-
2017-04-01T02:50:00;10.5;-;170;88;1012.1
2017-04-01T03:00:00;10.5;-;0;88;1012.0
2017-04-01T03:10:00;-;-;-;-;-
2017-04-01T03:20:00;10.3;-;0;88;1011.8
2017-04-01T03:30:00;10.2;0.4;123;89;1011.8
2017-04-01T03:40:00;-;-;-;-;-
2017-04-01T03:50:00;10.3;0.8;134;91;1011.7
2017-04-01T04:00:00;10.4;0.8;137;91;1011.7
2017-04-01T04:10:00;-;-;-;-;-
2017-04-01T04:20:00;10.3;0.8;123;91;1011.6
2017-04-01T04:30:00;10.3;1.2;129;92;1011.5
2017-04-01T04:40:00;-;-;-;-;-
2017-04-01T04:50:00;10.2;1.2;129;92;1011.4
2017-04-01T05:00:00;10.2;1.2;127;93;1011.2
2017-04-01T05:10:00;-;-;-;-;-
2017-04-01T05:20:00;10.2;1.2;121;93;1011.1
2017-04-01T05:30:00;10.3;1.2;127;93;1011.1
2017-04-01T05:40:00;-;-;-;-;-
2017-04-01T05:50:00;10.3;1.2;134;93;1011.1
2017-04-01T06:00:00;10.4;1.2;128;94;1010.9
2017-04-01T06:10:00;-;-;-;-;-
2017-04-01T06:20:00;10.4;1.2;131;94;1010.9
2017-04-01T06:30:00;10.5;1.2;125;94;1010.8
2017-04-01T06:40:00;-;-;-;-;-
2017-04-01T06:50:00;10.6;1.2;129;93;1010.7
2017-04-01T07:00:00;10.8;1.9;131;93;1010.7
2017-04-01T07:10:00;-;-;-;-;-
2017-04-01T07:20:00;10.8;0.8;127;93;1010.7
2017-04-01T07:30:00;10.9;1.9;133;92;1010.6
2017-04-01T07:40:00;-;-;-;-;-
2017-04-01T07:50:00;11.0;1.2;144;92;1010.7
2017-04-01T08:00:00;11.1;1.2;138;92;1010.8
2017-04-01T08:10:00;-;-;-;-;-
2017-04-01T08:20:00;11.3;1.6;170;92;1010.9
2017-04-01T08:30:00;11.2;1.9;173;91;1011.0
2017-04-01T08:40:00;-;-;-;-;-
2017-04-01T08:50:00;11.2;1.9;182;91;1011.2
2017-04-01T09:00:00;11.1;2.3;209;90;1011.2
2017-04-01T09:10:00;-;-;-;-;-
2017-04-01T09:20:00;10.9;1.9;214;91;1011.4
2017-04-01T09:30:00;10.8;1.9;209;91;1011.4
2017-04-01T09:40:00;-;-;-;-;-
2017-04-01T09:50:00;10.6;0.8;205;92;1011.5
2017-04-01T10:00:00;10.4;0.8;206;92;1011.6
2017-04-01T10:10:00;-;-;-;-;-
2017-04-01T10:20:00;10.6;0.8;209;93;1011.5
2017-04-01T10:30:00;10.6;0.4;208;93;1011.5
2017-04-01T10:40:00;-;-;-;-;-
2017-04-01T10:50:00;10.6;0.8;216;93;1011.8
2017-04-01T11:00:00;10.6;1.2;207;93;1011.9
2017-04-01T11:10:00;-;-;-;-;-
2017-04-01T11:20:00;10.7;1.2;208;93;1012.0
2017-04-01T11:30:00;-;-;-;-;-
2017-04-01T11:40:00;-;-;-;-;-
2017-04-01T11:50:00;-;-;-;-;-
2017-04-01T12:00:00;10.9;0.8;208;91;1012.1
2017-04-01T12:10:00;-;-;-;-;-
2017-04-01T12:20:00;10.9;0.8;199;91;1012.2
2017-04-01T12:30:00;11.2;1.2;206;90;1012.3
2017-04-01T12:40:00;-;-;-;-;-
2017-04-01T12:50:00;11.4;1.2;204;90;1012.1
2017-04-01T13:00:00;11.8;1.2;200;89;1012.0
2017-04-01T13:10:00;-;-;-;-;-
