datum;temperatuur (C) [1000000888];windsnelheid (m/s) [1000000888];windrichting (graden) [1000000888];relatieve vochtigheid  (%) [1000000888];luchtdruk (hPa) [1000000888]
2017-04-01T00:00:00;10.4;-;217;82;1012.5
2017-04-01T00:10:00;10.0;-;217;82;1012.5
2017-04-01T00:20:00;9.7;-;217;83;1012.2
2017-04-01T00:30:00;9.4;-;217;83;1012.5
2017-04-01T00:40:00;9.1;-;217;84;1012.5
2017-04-01T00:50:00;8.8;-;217;84;1012.2
2017-04-01T01:00:00;8.7;-;217;85;1012.5
2017-04-01T01:10:00;8.8;-;147;87;1012.2
2017-04-01T01:20:00;8.7;-;147;87;1012.2
2017-04-01T01:30:00;8.6;-;147;87;1012.2
2017-04-01T01:40:00;8.3;-;147;88;1011.8
2017-04-01T01:50:00;8.1;-;147;88;1011.8
2017-04-01T02:00:00;7.9;-;147;88;1011.8
2017-04-01T02:10:00;7.8;-;147;88;1011.8
2017-04-01T02:20:00;7.7;-;147;89;1011.8
2017-04-01T02:30:00;7.6;-;147;89;1011.8
2017-04-01T02:40:00;7.4;-;147;90;1011.8
2017-04-01T02:50:00;7.4;-;142;90;1011.8
2017-04-01T03:00:00;7.5;-;142;90;1011.5
2017-04-01T03:10:00;7.4;-;142;90;1011.5
2017-04-01T03:20:00;-;-;-;-;-
2017-04-01T03:30:00;7.4;-;142;91;1011.5
2017-04-01T03:40:00;-;-;-;-;-
2017-04-01T03:50:00;7.7;-;142;92;1011.2
2017-04-01T04:00:00;-;-;-;-;-
2017-04-01T04:10:00;7.7;-;131;92;1011.2
2017-04-01T04:20:00;8.2;0.3;142;93;1011.2
2017-04-01T04:30:00;8.4;-;142;93;1011.2
2017-04-01T04:40:00;8.7;-;140;94;1011.2
2017-04-01T04:50:00;8.7;-;138;94;1010.8
2017-04-01T05:00:00;-;-;-;-;-
2017-04-01T05:10:00;8.2;-;138;94;1010.8
2017-04-01T05:20:00;7.9;-;138;94;1010.8
2017-04-01T05:30:00;7.8;0.3;130;94;1010.8
2017-04-01T05:40:00;8.0;-;97;94;1010.8
2017-04-01T05:50:00;8.1;-;101;94;1010.5
2017-04-01T06:00:00;-;-;-;-;-
2017-04-01T06:10:00;8.2;-;124;95;1010.5
2017-04-01T06:20:00;8.4;-;125;95;1010.5
2017-04-01T06:30:00;8.5;-;125;95;1010.5
2017-04-01T06:40:00;8.6;-;111;95;1010.5
2017-04-01T06:50:00;8.8;-;111;95;1010.5
2017-04-01T07:00:00;-;-;-;-;-
2017-04-01T07:10:00;9.4;-;113;96;1010.2
2017-04-01T07:20:00;9.8;0.3;124;96;1010.5
2017-04-01T07:30:00;9.9;0.3;110;96;1010.2
2017-04-01T07:40:00;10.2;0.3;149;96;1010.5
2017-04-01T07:50:00;10.4;0.3;103;96;1010.2
2017-04-01T08:00:00;-;-;-;-;-
