datum;temperatuur (C) [1000000606];windsnelheid (m/s) [1000000606];windrichting (graden) [1000000606];relatieve vochtigheid  (%) [1000000606];luchtdruk (hPa) [1000000606]
2017-04-01T00:00:00;9.7;-;321;88;1012.5
2017-04-01T00:10:00;9.5;-;321;89;1012.5
2017-04-01T00:20:00;9.3;-;322;89;1012.5
2017-04-01T00:30:00;9.1;-;321;90;1012.5
2017-04-01T00:40:00;8.9;-;321;90;1012.5
2017-04-01T00:50:00;8.8;-;321;91;1012.5
2017-04-01T01:00:00;8.8;-;321;92;1012.5
2017-04-01T01:10:00;8.7;-;321;92;1012.5
2017-04-01T01:20:00;8.6;-;321;92;1012.2
2017-04-01T01:30:00;8.4;-;321;93;1012.2
2017-04-01T01:40:00;8.2;-;321;93;1012.2
2017-04-01T01:50:00;8.2;-;321;93;1012.2
2017-04-01T02:00:00;7.9;-;321;93;1011.8
2017-04-01T02:10:00;7.7;-;321;93;1011.8
2017-04-01T02:20:00;7.9;-;321;94;1011.8
2017-04-01T02:30:00;7.8;-;321;94;1011.8
2017-04-01T02:40:00;7.7;-;321;94;1011.8
2017-04-01T02:50:00;7.6;-;322;94;1011.8
2017-04-01T03:00:00;7.9;-;321;95;1011.8
2017-04-01T03:10:00;8.4;-;322;96;1011.5
2017-04-01T03:20:00;8.4;-;322;95;1011.5
2017-04-01T03:30:00;8.2;-;322;96;1011.5
2017-04-01T03:40:00;8.2;-;322;95;1011.5
2017-04-01T03:50:00;8.2;-;322;96;1011.5
2017-04-01T04:00:00;8.1;-;322;96;1011.5
2017-04-01T04:10:00;8.3;-;214;97;1011.5
2017-04-01T04:20:00;8.6;-;164;97;1011.2
2017-04-01T04:30:00;8.8;-;159;97;1011.2
2017-04-01T04:40:00;9.2;-;108;97;1010.8
2017-04-01T04:50:00;9.1;-;109;97;1010.8
2017-04-01T05:00:00;9.2;-;122;97;1010.8
2017-04-01T05:10:00;9.3;-;168;97;1010.8
2017-04-01T05:20:00;9.5;-;115;97;1010.8
2017-04-01T05:30:00;9.6;-;117;97;1010.8
2017-04-01T05:40:00;9.6;-;134;97;1010.8
2017-04-01T05:50:00;9.6;-;139;96;1010.8
2017-04-01T06:00:00;9.5;-;129;97;1010.5
2017-04-01T06:10:00;9.4;-;129;97;1010.5
2017-04-01T06:20:00;9.4;-;121;97;1010.5
2017-04-01T06:30:00;9.4;-;174;97;1010.5
2017-04-01T06:40:00;9.4;-;102;97;1010.5
2017-04-01T06:50:00;9.4;-;122;97;1010.5
2017-04-01T07:00:00;9.4;-;126;97;1010.5
2017-04-01T07:10:00;9.4;-;117;97;1010.5
2017-04-01T07:20:00;9.4;-;124;97;1010.5
2017-04-01T07:30:00;9.5;-;156;97;1010.5
2017-04-01T07:40:00;9.7;-;162;97;1010.5
2017-04-01T07:50:00;9.8;-;132;97;1010.5
2017-04-01T08:00:00;9.8;-;150;97;1010.5
2017-04-01T08:10:00;9.9;-;139;97;1010.5
2017-04-01T08:20:00;10.1;-;162;97;1010.5
2017-04-01T08:30:00;10.3;-;169;97;1010.5
2017-04-01T08:40:00;10.5;-;161;97;1010.8
2017-04-01T08:50:00;10.6;-;224;96;1010.8
2017-04-01T09:00:00;10.6;-;244;96;1010.8
2017-04-01T09:10:00;10.7;0.3;229;96;1010.8
2017-04-01T09:20:00;10.7;0.3;179;95;1010.8
2017-04-01T09:30:00;10.7;0.3;240;94;1011.2
2017-04-01T09:40:00;10.6;0.3;243;94;1011.2
2017-04-01T09:50:00;10.6;-;266;95;1011.2
2017-04-01T10:00:00;10.6;-;353;95;1010.8
2017-04-01T10:10:00;10.7;-;339;95;1010.8
2017-04-01T10:20:00;10.6;-;258;95;1010.8
2017-04-01T10:30:00;10.6;-;321;95;1011.2
2017-04-01T10:40:00;10.6;-;244;95;1011.2
2017-04-01T10:50:00;10.7;-;296;94;1011.5
2017-04-01T11:00:00;10.8;-;304;94;1011.5
2017-04-01T11:10:00;11.1;-;239;94;1011.5
2017-04-01T11:20:00;11.3;-;300;94;1011.5
2017-04-01T11:30:00;-;-;-;-;-
2017-04-01T11:40:00;-;-;-;-;-
2017-04-01T11:50:00;-;-;-;-;-
2017-04-01T12:00:00;11.3;-;226;89;1011.8
