"name","id","lon","lat","optional","layer","optional.1","SVF","sampled"
"Amsterdam/Schiphol AP","					Station ID: 916696001",114279.429362862,481172.946296852,TRUE,1,TRUE,0.999886857792303,0.999886857792303
"ws Fitzcarraldo Amsterdam","				Station ID: 1000000779",118328.133318445,483802.557076074,TRUE,1,TRUE,NA,0.844891667143453
"A'veen","								Station ID: 933736001",119129.644647309,476805.970496114,TRUE,1,TRUE,0.742343423834027,0.742343423834027
"Weather station Amsterdam Westerpark","	Station ID: 924276001",119675.439111496,488355.963925125,TRUE,1,TRUE,0.41928944706094,0.41928944706094
"Amsterdam-Westerpark","					Station ID: 942486001",120352.825110214,489234.523153431,TRUE,1,TRUE,0.913507205211721,0.913507205211721
"AMS-IJ","								Station ID: 926656002",123987.410191613,487960.493767722,TRUE,1,TRUE,0.82797661587086,0.82797661587086
"Weerstation IJburg","					Station ID: 1000000112",128097.000689832,485337.995717672,TRUE,1,TRUE,0.850214658573318,0.850214658573318
"Daltonschool Neptunus","					Station ID: 932806001",128009.783300709,485805.502439181,TRUE,1,TRUE,0.982314364168949,0.982314364168949
